id	title	text	genre	age	value
1	The Ant and the Chrysalis	"An Ant nimbly running about in the sunshine in search of food came across a Chrysalis that was very near its time of change. The Chrysalis moved its tail, and thus attracted the attention of the Ant, who then saw for the first time that it was alive. ""Poor, pitiable animal!"" cried the Ant disdainfully. ""What a sad fate is yours!
While I can run hither and thither, at my pleasure, and, if I wish, ascend the tallest tree, you lie imprisoned here in your shell, with power only to move a joint or two of your scaly tail."" The Chrysalis heard all this, but did not try to make any reply. A few days after, when the Ant passed that way again, nothing but the shell remained. Wondering what had become of its contents, he felt himself suddenly
shaded and fanned by the gorgeous wings of a beautiful Butterfly. ""Behold in me,"" said the Butterfly, ""your much-pitied friend! Boast now of your powers to run and climb as long as you can get me to listen."" So saying, the Butterfly rose in the air, and, borne along and aloft on the summer breeze, was soon lost to the sight of the Ant forever. 

Appearances are deceptive."	fable	12+	"appearance, beauty"
2	The Ant and the Dove 	"An Ant went to the bank of a river to quench its thirst, and being carried away by the rush of the stream, was on the point of drowning.  A Dove sitting on a tree overhanging the water plucked a leaf and let it fall into the stream close to her.  The Ant climbed onto it and floated in safety to the bank.  Shortly afterwards a birdcatcher came and stood under the tree, and laid his lime-twigs for the Dove, which sat in the branches.  The Ant, perceiving his design, stung him in the foot.  In pain the birdcatcher threw down the twigs, and the noise made the Dove
take wing.

One good turn deserves another."	fable		"cooperation, friendship, teamwork"
3	The Ant and the Grasshopper	"In a field one summer's day a Grasshopper was hopping about, chirping and singing to its heart's content.  An Ant passed by, bearing along with great toil an ear of corn he was taking to the nest.

""Why not come and chat with me,"" said the Grasshopper, ""instead of toiling and moiling in that way?""

""I am helping to lay up food for the winter,"" said the Ant, ""and recommend you to do the same.""

""Why bother about winter?"" said the Grasshopper; we have got plenty of food at present.""  But the Ant went on its way and continued its toil.  When the winter came the Grasshopper had no food and found itself dying of hunger, while it saw the ants distributing every day corn and grain from the stores they had collected in the summer.

It is best to prepare for the days of necessity."	fable		"mindfulness, foresight"
4	The Hare and the Tortoise	"The Hare was once boasting of his speed before the other animals.  ""I have never yet been beaten,"" said he, ""when I put forth my full speed.  I challenge any one here to race with me.""

The Tortoise said quietly, ""I accept your challenge.""

""That is a good joke,"" said the Hare; ""I could dance round you all the way.""

""Keep your boasting till you've beaten,"" answered the Tortoise.  ""Shall we race?""

So a course was fixed and a start was made.  The Hare darted almost out of sight at once, but soon stopped and, to show his contempt for the Tortoise, lay down to have a nap.  The Tortoise plodded on and plodded on, and when the Hare awoke from his nap, he saw the Tortoise just near the winning-post and could not run
up in time to save the race.

Plodding wins the race."	fable		"perserverance, confidence, hubris, patience, determination"
5	The Wolf in Sheep's Clothing	"A Wolf found great difficulty in getting at the sheep owing to the vigilance of the shepherd and his dogs.  But one day it found the skin of a sheep that had been flayed and thrown aside, so it put it on over its own pelt and strolled down among the sheep. The Lamb that belonged to the sheep, whose skin the Wolf was wearing, began to follow the Wolf in the Sheep's clothing; so, leading the Lamb a little apart, he soon made a meal off her, and for some time he succeeded in deceiving the sheep, and enjoying hearty meals.

Appearances are deceptive."	fable		"appearance, deception"
6	The Serpent and the Eagle	"An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it. But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two. A countryman, who was a witness of the encounter, came to the assistance of the eagle, and succeeded in freeing him from the Serpent and enabling him to escape. In revenge, the Serpent spat some of his
poison into the man's drinking-horn. Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.

One good turn deserves another."	fable		"cooperation, friendship, teamwork"
7	The Vixen and the Lioness	"A Vixen who was taking her babies out for an airing one balmy morning, came across a Lioness, with her cub in arms. ""Why such airs, haughty dame, over one solitary cub?"" sneered the Vixen. ""Look at my healthy and numerous litter here, and imagine, if you are able, how a proud mother should feel."" The Lioness gave her a squelching look, and lifting up her nose, walked away, saying calmly, ""Yes, just look at that beautiful collection. What are they? Foxes! I've only one, but remember, that one is a Lion.""

Quality is better than quantity."	fable		"quality, confidence"
8	The Lion and the Mouse	"Once when a Lion was asleep a little Mouse began running up and down upon him; this soon wakened the Lion, who placed his huge paw upon him, and opened his big jaws to swallow him.  ""Pardon, O King,"" cried the little Mouse: ""forgive me this time, I shall never forget it: who knows but what I may be able to do you a turn some of these days?""  The Lion was so tickled at the idea of the Mouse being able to help him, that he lifted up his paw and let him go.  Some time after the Lion was caught in a trap, and the hunters who desired to carry him alive to the King, tied him to a tree while they went in search of a waggon to carry him on.  Just then the little Mouse happened to pass by, and seeing the sad plight in which the Lion was, went up to him and soon gnawed away the ropes that bound the King of the Beasts.  ""Was I not right?"" said the little Mouse.

Little friends may prove great friends."	fable		"cooperation, appearance,  confidence, friendship "
9	Mercury and the Woodman	"A Woodman was felling a tree on the bank of a river, when his axe, glancing off the trunk, flew out of his hands and fell into the water. As he stood by the water's edge lamenting his loss, Mercury appeared and asked him the reason for his grief. On learning what had happened, out of pity for his distress, Mercury dived into the river and, bringing up a golden axe, asked him if that was the one he had lost.
The Woodman replied that it was not, and Mercury then dived a second time, and, bringing up a silver axe, asked if that was his. ""No, that is not mine either,"" said the Woodman. Once more Mercury dived into the river, and brought up the missing axe. The Woodman was overjoyed at recovering his property, and thanked his benefactor warmly; and the latter was so pleased with his honesty that he made him a present of the other two axes. 

Honesty is the best policy."	fable		honesty
10	The Fox and the Goat	"A Fox one day fell into a deep well and could find no means of escape.  A Goat, overcome with thirst, came to the same well, and seeing the Fox, inquired if the water was good.  Concealing his sad plight under a merry guise, the Fox indulged in a lavish praise of the water, saying it was excellent beyond measure, and encouraging him to descend.  The Goat, mindful only of his thirst, thoughtlessly jumped down, but just as he drank, the Fox informed him of the difficulty they were both in and suggested a scheme for their common escape.  ""If,"" said he, ""you will place your forefeet upon the wall and bend your head, I will run up your back and escape, and will help you out afterwards.""  The Goat readily assented and the Fox leaped upon his back.  Steadying
himself with the Goat's horns, he safely reached the mouth of the well and made off as fast as he could.  When the Goat upbraided him for breaking his promise, he turned around and cried out, ""You foolish old fellow! If you had as many brains in your head as you have hairs in your beard, you would never have gone down before you had inspected the way up, nor have exposed yourself to dangers from which you had no means of escape.""

Look before you leap."	fable		"deception, naivety"
11	The Dove and the Ant	"An Ant, going to a river to drink, fell in, and was carried along in the stream. A Dove pitied her condition, and threw into the river a small bough, by means of which the Ant gained the shore. The Ant afterward, seeing a man with a fowling-piece aiming at the Dove, stung him in the foot sharply, and made him miss his aim, and so saved the Dove's life.

Little friends may prove great friends."	fable		"cooperation, friendship, teamwork"
12	The Crow and the Pitcher	"A Crow, half-dead with thirst, came upon a Pitcher which had once been full of water; but when the Crow put its beak into the mouth of the Pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it. He tried, and he tried, but at last had to give up in despair. Then a thought came to him, and he took a pebble and dropped it into the Pitcher.  Then he took another pebble and dropped it into the Pitcher.  Then he took another pebble and dropped that into the Pitcher.  Then he took another pebble and dropped that into the Pitcher.  Then he took another pebble and dropped that into the Pitcher.  Then he took another pebble and dropped that into the Pitcher.  At last, at last, he saw the water mount up near
him, and after casting in a few more pebbles he was able to quench his thirst and save his life.

Little by little does the trick."	fable		"perserverance, determination"
13	The Milkmaid and Her Pail	"Patty the Milkmaid was going to market carrying her milk in a Pail on her head.  As she went along she began calculating what she would do with the money she would get for the milk.  ""I'll buy some fowls from Farmer Brown,"" said she, ""and they will lay eggs each morning, which I will sell to the parson's wife.  With the money that I get from the sale of these eggs I'll buy myself a new dimity frock and a chip hat; and when I go to market, won't all the young men come up and speak to me!  Polly Shaw will be that jealous; but I don't care.  I shall just look at her and toss my head like this.  As she spoke she tossed her head back, the Pail fell off it, and all the milk was spilt.  So she had to go home and tell her mother what had occurred.

""Ah, my child,"" said the mother, ""Do not count your chickens before they are hatched."""	fable		hubris
14	The Peacock and the Crane 	"A Peacock spreading its gorgeous tail mocked a Crane that passed by, ridiculing the ashen hue of its plumage and saying, ""I am robed, like a king, in gold and purple and all the colors of the rainbow; while you have not a bit of color on your wings."" ""True,"" replied the Crane; ""but I soar to the heights of heaven and lift up my voice to the stars, while you walk below, among the birds of the dunghill.""

Fine feathers don't make fine birds."	fable		"appearance, confidence"
15	The Shepherd's Boy and the Wolf	"A Shepherd-boy, who watched a flock of sheep near a village, brought out the villagers three or four times by crying out, ""Wolf! Wolf!""  and when his neighbors came to help him, laughed at them for their pains.  The Wolf, however, did truly come at last.  The Shepherd-boy, now really alarmed, shouted in an agony of
terror:  ""Pray, do come and help me; the Wolf is killing the sheep""; but no one paid any heed to his cries, nor rendered any assistance.  The Wolf, having no cause of fear, at his leisure lacerated or destroyed the whole flock.

There is no believing a liar, even when he speaks the truth."	fable		deception
16	The Story of The Three Little Pigs	"Once upon a time when pigs spoke rhyme And monkeys chewed tobacco, And hens took snuff to make them tough, And ducks went quack, quack, quack, O! There was an old sow with three little pigs, and as she had not enough to keep them, she sent them out to seek their fortune. The first that went off met a man with a bundle of straw, and said to him: “Please, man, give me that straw to build me a house.” Which the man did, and the little pig built a house with it. Presently came along a wolf, and knocked at the door, and said: “Little pig, little pig, let me come in.” To which the pig answered: “No, no, by the hair of my chiny chin chin.” The wolf then answered to that: “Then I’ll huff, and I’ll puff, and I’ll blow your house in.” So he huffed, and he puffed, and he blew his house in, and ate up the little pig. The second little pig met a man with a bundle of furze, and said: “Please, man, give me that furze to build a house.” Which the man did, and the pig built his house. Then along came the wolf, and said: “Little pig, little pig, let me come in.” “No, no, by the hair of my chiny chin chin.” “Then I’ll puff, and I’ll huff, and I’ll blow your house in.” So he huffed, and he puffed, and he puffed, and he huffed, and at last he blew the house down, and he ate up the little pig. The third little pig met a man with a load of bricks, and said: “Please, man, give me those bricks to build a house with.” So the man gave him the bricks, and he built his house with them. So the wolf came, as he did to the other little pigs, and said: “Little pig, little pig, let me come in.” “No, no, by the hair of my chiny chin chin.” “Then I’ll huff, and I’ll puff, and I’ll blow your house in.” Well, he huffed, and he puffed, and he huffed and he puffed, and he puffed and huffed; but he could not get the house down. When he found that he could not, with all his huffing and puffing, blow the house down, he said: “Little pig, I know where there is a nice field of turnips.” “Where?” said the little pig. “Oh, in Mr. Smith’s Home-field, and if you will be ready tomorrow morning I will call for you, and we will go together, and get some for dinner.” “Very well,” said the little pig, “I will be ready. What time do you mean to go?” “Oh, at six o’clock.” Well, the little pig got up at five, and got the turnips before the wolf came (which he did about six) and who said: “Little Pig, are you ready?” The little pig said: “Ready! I have been and come back again, and got a nice potful for dinner.” The wolf felt very angry at this, but thought that he would be up to the little pig somehow or other, so he said: “Little pig, I know where there is a nice apple-tree.” “Where?” said the pig. “Down at Merry-garden,” replied the wolf, “and if you will not deceive me I will come for you, at five o’clock tomorrow and get some apples.” Well, the little pig bustled up the next morning at four o’clock, and went off for the apples, hoping to get back before the wolf came; but he had further to go, and had to climb the tree, so that just as he was coming down from it, he saw the wolf coming, which, as you may suppose, frightened him very much. When the wolf came up he said: “Little pig, what! are you here before me? Are they nice apples?” “Yes, very,” said the little pig. “I will throw you down one.” And he threw it so far, that, while the wolf was gone to pick it up, the little pig jumped down and ran home. The next day the wolf came again, and said to the little pig: “Little pig, there is a fair at Shanklin this afternoon, will you go?” “Oh yes,” said the pig, “I will go; what time shall you be ready?” “At three,” said the wolf. So the little pig went off before the time as usual, and got to the fair, and bought a butter-churn, which he was going home with, when he saw the wolf coming. Then he could not tell what to do. So he got into the churn to hide, and by so doing turned it round, and it rolled down the hill with the pig in it, which frightened the wolf so much, that he ran home without going to the fair. He went to the little pig’s house, and told him how frightened he had been by a great round thing which came down the hill past him. Then the little pig said: “Hah, I frightened you, then. I had been to the fair and bought a butter-churn, and when I saw you, I got into it, and rolled down the hill.” Then the wolf was very angry indeed, and declared he would eat up the little pig, and that he would get down the chimney after him. When the little pig saw what he was about, he hung on the pot full of water, and made up a blazing fire, and, just as the wolf was coming down, took off the cover, and in fell the wolf; so the little pig put on the cover again in an instant, boiled him up, and ate him for supper, and lived happy ever afterwards."	fairy tale		"mindfulness, foresight, perserverance, patience"
17	Rapunzel	"There were once a man and a woman who had long in vain wished for a child.  At length the woman hoped that God was about to grant her desire.  These people had a little window at the back of their house from which a splendid garden could be seen, which was full of the most beautiful flowers and herbs.  It was, however, surrounded by a high wall, and no one dared to go into it because it belonged to an enchantress, who had great power and was dreaded by all the world.  One day the woman was standing by this window and looking down into the garden, when she saw a bed which was planted with the most beautiful rampion - Rapunzel, and it looked so fresh and green that she longed for it, and had the greatest desire to eat some.  This desire increased every day, and as she knew that she could not get any of it, she quite pined away, and began to look pale and miserable. Then her husband was alarmed, and asked, what ails you, dear wife.  Ah, she replied, if I can't eat some of the rampion, which is in the garden behind our house, I shall die.  The man, who loved her, thought, sooner than let your wife die, bring her some of the rampion yourself, let it cost what it will.  At twilight, he clambered down over the wall into the garden of the enchantress, hastily clutched a handful of rampion, and took it to his wife.  She at once made herself a salad of it, and ate it greedily.  It tasted so good to her - so very good, that the next day she longed for it three times as much as before.  If he was to have any rest, her husband must once more descend into the garden.  In the gloom of evening, therefore, he let himself down again.  But when he had clambered down the wall he was terribly afraid, for he saw the enchantress standing before him.  How can you dare, said she with angry look, descend into my garden and steal my rampion like a thief.  You shall suffer for it.  Ah, answered he, let mercy take the place of justice, I only made up my mind to do it out of necessity.  My wife saw your rampion from the window, and felt such a longing for it that she would have died if she had not got some to eat.  Then the enchantress allowed her anger to be softened, and said to him, if the case be as you say, I will allow you to take away with you as much rampion as you will, only I make one condition, you must give me the child which your wife will bring into the world.  It shall be well treated, and I will care for it like a mother.  The man in his terror consented to everything, and when the woman was brought to bed, the enchantress appeared at once, gave the child the name of Rapunzel, and took it away with her. Rapunzel grew into the most beautiful child under the sun. When she was twelve years old, the enchantress shut her into a tower, which lay in a forest, and had neither stairs nor door, but quite at the top was a little window.  When the enchantress wanted to go in, she placed herself beneath it and cried,      “Rapunzel, Rapunzel, let down your hair to me.” Rapunzel had magnificent long hair, fine as spun gold, and when she heard the voice of the enchantress she unfastened her braided tresses, wound them round one of the hooks of the window above, and then the hair fell twenty ells down, and the enchantress climbed up by it. After a year or two, it came to pass that the king's son rode through the forest and passed by the tower.  Then he heard a song, which was so charming that he stood still and listened.  This was Rapunzel, who in her solitude passed her time in letting her sweet voice resound.  The king's son wanted to climb up to her, and looked for the door of the tower, but none was to be found.  He rode home, but the singing had so deeply touched his heart, that every day he went out into the forest and listened to it.  Once when he was thus standing behind a tree, he saw that an enchantress came there, and he heard how she cried, “Rapunzel, Rapunzel, let down your hair.” Then Rapunzel let down the braids of her hair, and the enchantress climbed up to her.  If that is the ladder by which one mounts, I too will try my fortune, said he, and the next day when it began to grow dark, he went to the tower and cried, “Rapunzel, Rapunzel,  let down your hair.” Immediately the hair fell down and the king's son climbed up. At first Rapunzel was terribly frightened when a man, such as her eyes had never yet beheld, came to her.  But the king's son began to talk to her quite like a friend, and told her that his heart had been so stirred that it had let him have no rest, and he had been forced to see her.  Then Rapunzel lost her fear, and when he asked her if she would take him for her husband, and she saw that he was young and handsome, she thought, he will love me more than old dame gothel does.  And she said yes, and laid her hand in his. She said, I will willingly go away with you, but I do not know how to get down.  Bring with you a skein of silk every time that you come, and I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse.  They agreed that until that time he should come to her every evening, for the old woman came by day.  The enchantress remarked nothing of this, until once Rapunzel said to her, tell me, dame gothel, how it happens that you are so much heavier for me to draw up than the young king's son - he is with me in a moment.  Ah. You wicked child, cried the enchantress.  What do I hear you say.  I thought I had separated you from all the world, and yet you have deceived me.  In her anger she clutched Rapunzel's beautiful tresses, wrapped them twice round her left hand, seized a pair of scissors with the right, and snip, snap, they were cut off, and the lovely braids lay on the ground.  And she was so pitiless that she took poor Rapunzel into a desert where she had to live in great grief and misery. On the same day that she cast out Rapunzel, however, the enchantress fastened the braids of hair, which she had cut off, to the hook of the window, and when the king's son came and cried, “Rapunzel, Rapunzel, let down your hair”, she let the hair down.  The king's son ascended, but instead of finding his dearest Rapunzel, he found the enchantress, who gazed at him with wicked and venomous looks.  Aha, she cried mockingly, you would fetch your dearest, but the beautiful bird sits no longer singing in the nest.  The cat has got it, and will scratch out your eyes as well. Rapunzel is lost to you. You will never see her again.  The king's son was beside himself with pain, and in his despair he leapt down from the tower.  He escaped with his life, but the thorns into which he fell pierced his eyes.  Then he wandered quite blind about the forest, ate nothing but roots and berries, and did naught but lament and weep over the loss of his dearest wife.  Thus he roamed about in misery for some years, and at length came to the desert where Rapunzel, with the twins to which she had given birth, a boy and a girl, lived in wretchedness.  He heard a voice, and it seemed so familiar to him that he went towards it, and when he approached, Rapunzel knew him and fell on his neck and wept.  Two of her tears wetted his eyes and they grew clear again, and he could see with them as before. He led her to his kingdom where he was joyfully received, and they lived for a long time afterwards, happy and contented. "	fairy tale		"patience, determination, beauty, perserverance, love"
