1	" Burger Queen flew Billy and his Bronx coworkers to its training center. After returning, Billy told his cousin about his trip. ""Boy, was it great! I made tons of money in overtime. We were in training 12 days straight. We worked almost 16 hours a day. We learned how to make ten new menu items. You'll see them on the menu next month. Everything was free! I had my own private room in the hotel. The food was fantastic. The hotel had six different restaurants. I ate all I could eat three times a day. I can't wait to go back there again."" Jill asked, ""Go back where? Where did you go?"" He said, ""They said we were in Texas."" She asked, ""They 'said'? Where in Texas? What city?"" He said, ""I don't know. I didn't even see a city. All I saw were the hotel and the training center."""
2	" ""We need to lose weight,"" she said. He said, ""What do you mean, 'we'?"" She said, ""I mean you and me. I'm 20 pounds overweight, and so are you. We have to worry about diabetes, you know. That happens to people who gain weight and don't exercise."" He said, ""We get plenty of exercise walking around the city. Remember walking up to Central Park last week?"" She said, ""Yes, but we only do that about once a month. We should stop eating ice cream, candy, cake, cookies, and cupcakes."" He said, ""You forgot pie. Okay. Shall we start next month?"" She laughed. She said, ""Today's only the first day of the month! Let's start tomorrow."" He agreed. He put on his shoes. She asked, ""Where are you going?"" He said, ""Where do you think? I'm going shopping. We need to splurge on sweets all night, before the suffering starts tomorrow."""
3	" $437.50."" ""$437.50!?"" said Bill. ""Is this a joke? I can buy a brand new computer for $437.50! You're pulling my leg, right? We agreed to one hour. Then you were supposed to call me. Why didn't you call me?"" ""It was late at night,"" Byron said. ""I didn't want to wake you. Look, it sounds like you're upset. I'll take you off the clock right now. I'll retrieve all your files, but just charge you for the first 3.5 hours. I still have about two hours to go. You'll be getting those two hours for free. That'll save you $250! How's that for a deal?"""
4	 He bought a six-pack of an energy drink. He'd never tried it before. The ads promised four hours of energy. He drank the little bottle. He waited for the energy to kick in. He needed to cram for a test the next morning. Nothing happened. I can't wait all night, he thought. He drank another bottle. This'll give me EIGHT hours of energy, he thought. That meant he'd be up until 4 a.m. Nothing happened. He drank another bottle. Now I'll be up till 8 a.m., he thought. But that was no good, because the test started at 8 a.m. He drank another bottle. He started studying for the test. He couldn't concentrate. His eyes felt like they were crossing. His head felt like it contained a live electric wire. He couldn't study, and he couldn't sleep. Somehow, he managed to pass the test. No more cramming, he promised himself.
5	" The cat and the dog were talking. The cat said, ""Humans treat us better than you. If we turn up our nose at the cat food they serve us, they buy us another brand. If we're sleepy, we can sleep on the pillows in their bed."" The dog said, ""But humans take us out for walks. They throw Frisbees for us to catch. They put us in their tub and give us baths."" The cat said, ""They don't take us for walks because there's a litter box in the house. If we want to catch something, we catch birds or mice. They don't give us baths because we clean ourselves. And one more thing-they respect our independence. They don't put a chain on our neck and a leash on the chain."" The dog said, ""I'd rather have a leash than have their kids pulling my tail all the time."""
6	" It was a beautiful summer day in New York City. It was a day made for walking. John was standing at an intersection near the Brooklyn Bridge. He had driven over the bridge before. But he had never walked over the bridge. He started walking uphill on the pedestrian path. Many people were walking ahead of him. Many people were also walking toward him. They were coming from the Brooklyn side of the bridge. A bicycle path was next to the pedestrian path. Some pedestrians were walking on the bike path. A bicyclist approached. He rang his bicycle bell. Walkers slowly got out of his way. He kept ringing his bell. John continued walking uphill. A man was standing next to a large ice chest. He was selling bottled water. ""One dollar! One dollar! Ice cold water!"" he shouted. John wasn't thirsty. He wondered how heavy that ice chest was."
7	 The pedestrian path and the bike path gradually rose above the cars. John looked down at the cars. He was walking east, toward Brooklyn. The eastbound cars below were moving quickly. But the westbound cars, coming into NYC, were creeping along. There was a traffic jam. John was walking faster than those cars were moving. He was happy to be walking east instead of driving west. A nice breeze made his walk pleasant. He walked past people taking pictures. They were taking pictures of the bridge. They were taking pictures of the East River. They were taking pictures of buildings. They were taking pictures of one another. A woman asked John to take a picture of her and her boyfriend. Or was he her husband? He took their picture. They thanked him. He continued walking uphill. An old man was sitting next to the handrail. He was drawing the bridge.
8	" Next to the man were about 30 drawings. They were clipped to the fence beneath the handrail. There were drawings of bridges and buildings. There were drawings of people's faces. All the drawings were black and white. John thought they were beautiful. He couldn't believe the price. Each drawing was only $10. They were all about 8 inches by 11 inches. ""These are so beautiful,"" he told the man. The man was sitting on a folding chair. There was another folding chair next to him. ""Thank you,"" he said. ""I from Russia. English no good."" John said, ""But your art is very good."" ""Sit, sit,"" the man said. ""You, you."" The man pointed at John with his pen. He pointed at the empty chair. ""You want to draw me?"" John asked. ""Sit, sit,"" the man said. John said he didn't have time. Maybe he would stop on the way back."
9	" The man looked at John. ""Sit, sit,"" he repeated. John smiled. He waved goodbye to the man. Maybe I should buy a few drawings on my way back, he thought. Maybe that old man will be famous some day. Maybe my drawings will be worth millions. He could see the Statue of Liberty. It looked so small. There were many ships and boats on the river. Some boats were full of tourists. They were going to the Statue of Liberty. They were circling Manhattan Island. John reached the first of the two towers. He looked up. It said ""1875"" on the tower. Vendors were selling T-shirts, CDs, food, and drinks. People were taking pictures and reading plaques. John admired the tower. He admired the view. Half an hour later, he started walking toward the second tower. What a pleasant time he was having! What a pleasant time everyone was having!"
10	" Bill's laptop stopped working. He looked in the phone book under Computer Repair. He called a repair place near his apartment. Byron answered the phone. Bill said, ""My laptop has crashed. Can you retrieve the files? If so, how much will it cost?"" Byron said, ""I charge $125 an hour. I can probably retrieve the files in an hour. If I can't, I will call you."" The conversation lasted a few more minutes. Bill was impressed. Byron was very polite. He seemed friendly. He seemed trustworthy. A little later, Bill took his computer to Byron's office. Byron's wife was his secretary. She was very friendly. All three talked about Bill's computer, the weather, the Yankees, and the ""good old days."" They're a really nice couple, Bill thought as he left Byron's office. I think I have two new friends. The next morning, Bill called Byron. ""How's it going?"" Bill asked."
11	" ""It's coming along,"" said Byron. ""Your files are a real mess. I've spent 3.5 hours on your computer, but I haven't retrieved everything."" ""Excuse me?"" Bill said. ""What do you mean,"
12	" The couple stood in line at Bellevue Hospital. They were on the fourth floor. They were first in line. Three workers sat behind the main desk. One of them, a slim woman, said, ""Step down."" Doug and Sandra looked at each other. Step down? There was no step. The floor was completely flat. The only steps were in the stairwell beside the elevator. The woman repeated herself. She looked right at them. They pointed to themselves. She nodded. They stepped forward. ""Did you say 'step down'?"" Doug asked. She nodded. Sandra gave her a piece of paper. ""There are no steps,"" Doug said. ""You should say 'step forward.' No one understands 'step down.'"" The woman wrote a phone number on the piece of paper. She said, ""Call this number on Monday."" She gave the paper back to Sandra. She looked at the people next in line. ""Step down,"" she said."
13	" Doug and Sandra walked away from the desk. ""Boy, she wasn't very polite,"" Doug said. ""She didn't say 'Good morning.' She didn't say 'Have a nice day.' What did she write on the paper?"" The woman had written a phone number on the paper. ""I thought we were going to get an appointment,"" Doug said. Sandra was upset. ""Well, we didn't get an appointment, did we? You had to correct her English, didn't you? You upset her. So, she didn't give me an appointment with a doctor. Now I have to wait until Monday before I can make an appointment."" Doug said, ""Of course I corrected her. She was speaking incorrect English. Who ever heard of 'step down' when there are no steps? I tried to make her a better speaker. I tried to get her to speak correct English."" Sandra said, ""What's more important- her English, or my appointment?"""
14	" He was standing on the busy sidewalk. He was looking straight up. They were building a high-rise at 32nd Street and 6th Avenue. It had hundreds of huge glass windows. A crane was lifting a dumpster. The dumpster was about 20 feet in the air. He watched it rise. What if the cable broke? The dumpster would drop like a rock. How many people on the sidewalk would it injure? Something rolled over his foot. He looked down. A woman said, ""Oh, I'm sorry. Are you okay?"" She was pulling her grocery cart. ""No problem,"" he said. He went back to watching the dumpster. ""What's so interesting?"" she asked. She looked up, too. Then he smelled something foul. It was cigarette smoke. She had lit a cigarette. He couldn't believe it. He was there first. It was his space. He walked away. Maybe it will drop on her, he thought."
15	" Drew was standing near the pharmacy counter in the drugstore on 33rd Street. Two men approached. The short, stocky man was swearing loudly. He told the male employee, ""You better not call the police. Do you live around here? I better not see you on the street."" ""Are you threatening me?"" the employee asked. Five other customers were near Drew. Three other employees were also nearby. No one said a word. Everyone watched and listened. ""I didn't steal nothing. You call the cops, and I'll fight every one of them. You think I won't?"" the young man said. ""Sign here, please,"" the employee said. The man signed a form. He broke the pen in two. He said, ""You're a punk,"" and walked away. That was a violent guy, Drew thought. He might have attacked the employee. Why didn't I call the police, he wondered. Why did I just stand here?"
16	" Sam had lost his new teaching job. His supervisor had told him, ""I'm sorry. When we don't get enough new students, I have to lay off the newest teachers."" But Sam was the only new teacher who'd been laid off. All the other new teachers were still working. Why him, he wondered. ""Was it something I said or did? Something I didn't say or do?"" he asked his wife. His wife asked, ""Were you the last teacher hired?"" He said he wasn't. ""Are you the oldest new teacher?"" she asked. ""Oh, yeah,"" he said. ""I'm much older than the others."" She said, ""That's why."" He looked at her. ""Don't you see?"" she said. ""You're too old."" He told her that people can be too old for many jobs, but not for teaching jobs. ""Some of the best teachers are old teachers,"" he said. His wife said, ""Not at that school."""
17	" Jennifer Lopez was appearing at Macy's. A live band was playing outside Macy's. Jennifer was Dave's favorite actress. He had told his wife that many times. Macy's was across the street. ""I'm going to see what all the music is about,"" he said. His wife said, ""Oh no, you're not. I know where you're going. You're going to meet your girlfriend."" Is she crazy, he wondered. He was almost 60 years old, but she worried that he was still ""looking."" Because ""you have a history,"" she always told him. But he wasn't looking. A girlfriend would destroy his marriage. Nothing was more important to him than his marriage. ""How many times have I said that you are my only girlfriend?"" he said. ""Even if Jennifer asked me to marry her, I would say no."" His wife said, ""That's what you tell me. But that's not what you would tell her."""
18	" Linda's apartment intercom buzzed. She picked up the intercom phone. ""Hello,"" she said. ""The UPX man is coming up,"" said Julia. Julia worked at the front desk. Finally! Linda had been waiting two weeks to return a package. She took the package to the front door. She waited for the doorbell to ring. She thought she heard someone. She opened the door. No one was there. She shut the door. She stood just inside the door. A few minutes went by. She stared at the package. Where was this guy? Did he get lost? Did the elevator get stuck? Did he go to the wrong floor? Maybe she should call Julia back. KNOCK! KNOCK! KNOCK! Linda almost jumped out of her skin. Was he trying to break the door down? She couldn't believe the door was still on its hinges. ""UPX!"" the man yelled at the top of his lungs."
19	" She was in a hurry. She wanted something fast for breakfast. He told her to have milk and cereal. She said that milk upset her stomach. ""Don't you know that by now?"" she asked. He said there was soybean milk in the refrigerator. ""What kind of cereal do we have?"" she asked. He told her they had Grape Nuts and Shredded Wheat. ""Yuck!"" she said. ""Don't we have anything tasty?"" He said that a spoonful of sugar would make the cereal taste better. ""But sugar might raise my cholesterol,"" she said. He said that sugar doesn't raise cholesterol -meat does. ""If you really want to lower your cholesterol, you should stop eating meat,"" he said. She said she loved meat. She would never stop eating meat. Meat was much more important to her than her cholesterol level. ""If someone invented steak cereal, I'd eat three bowls a day!"" she said."
20	" Barry called Gene from work. The two of them talked only occasionally. They used to be best friends. Barry asked how everything was. He asked about Gene's health. While Gene was answering, he heard someone talking to Barry. What's going on, Gene wondered. A coworker was talking with Barry. The conversation lasted about 20 seconds. Finally, Barry said, ""I'm sorry. Susan asked me a question."" Gene asked, ""Couldn't she see you were on the phone?"" Barry said, ""Yes, but she needed a fast answer."" Gene said, ""That's rude."" Barry said, ""Sometimes she forgets her manners."" Gene said, ""She was rude, but you were rude, too. You were talking with me. You should've asked me if I minded waiting a second. Instead, you ignored me and paid complete attention to her. Would you have done that if you had been talking to your supervisor?"" Barry said that he had to go."
21	" He said that he felt bad because she had lost her client last week. ""You should feel bad. It was your fault,"" she said. He said it wasn't totally his fault. ""We missed the first train by a few seconds. Yes, that was my fault. So we got to Costco 20 minutes late. We got home 20 minutes late. But you still had plenty of time to make your appointment. But you ate a big lunch. Then you took a long shower,"" he said. ""I always eat a big lunch,"" she said. ""I always take a long shower."" ""You should have kept your 1 o'clock appointment,"" he said. ""Instead, you told your client to meet you at 2 o'clock. She refused. You should have asked her, not told her. That was rude."" She said, ""You knew I had a 1 o'clock appointment. But you made us late. That was rude!"""
22	" It was time for her yearly checkup and teeth-cleaning. The dentist examined her gums and teeth. He said that she had a lot of plaque and tartar. He recommended a ""deep cleaning."" She asked what that was. He said that it would take two visits. He would clean her top teeth first. He would clean her bottom teeth second. Each visit would take two hours. ""How much will it cost?"" she asked. ""It will cost four times as much as a regular cleaning,"" he said. ""I can't,"" she said. ""I don't have the time or the money."" He tried to convince her to get the deep cleaning. She refused. He turned cold. He silently gave her the regular cleaning. But he did it fast, and it hurt. ""He taught me a good lesson,"" she told her husband. ""What lesson?"" he asked. ""He taught me to find another dentist,"" she said."
23	" Do you sleep alone? Or do you just think you sleep alone? Maybe your bed is not just your bed. Bedbugs are taking over the USA. The little pests are about the size of an apple seed. Many big cities have them. The Big Apple has them. They are in hotels. They are in theaters. They are in department stores. They are in apartment buildings. Their favorite place in an apartment is the bedroom. Their favorite place in a bedroom is the mattress. At night they crawl out of the mattress. They suck blood out of whoever is sleeping on ""their"" mattress. Many victims have red bite marks on their skin the next day. The red marks are ugly. Worse, they usually itch like crazy. Researchers are trying to develop a magic chemical that will kill only bedbugs. Meanwhile, people need to keep their eyes open-especially while they're asleep!"
24	" She told him to stop picking at his ear. He said he wasn't ""picking at"" his ear. He was pulling hairs out of his ear. ""You look ridiculous,"" she said. ""You look like you have a mental problem."" He said he did have a mental problem. The hairs in his ears were driving him crazy. ""They grow like weeds on steroids,"" he said. ""Do what my brother does-shave your ears,"" she said. He said that was ridiculous-nobody shaves their ears. ""Nobody? I just told you my brother does,"" she said. ""Don't knock it till you try it."" He decided to try it. He went into the bathroom. He put shaving cream on both ears. He grabbed his razor. His wife walked in. She started laughing. ""What are you doing?"" she asked. ""I'm shaving my ears,"" he said. ""Not with a regular razor,"" she said. ""Use an electric shaver."""
25	" ""Mommy, look at my paper,"" said Sandra. ""My teacher wrote me a note."" Her mom looked at the paper. It was a math test. At the top it said, ""50%-You're such a loser."" Her mom screamed. She said, ""Did Mr. Brown write this note? How dare he? I'm calling your school right now."" She went into the living room. Sandra heard her mom yelling on the phone. A little later, she came back into the kitchen. ""Don't pay attention to that note, honey. Just because you fail a test doesn't make you a loser. You're a winner, honey. You're the best little girl in all the world. Don't worry about your score. Your daddy and I got 50% on many tests in school. We're not losers, and neither are you. But you know who is a loser? Mr. Brown is a loser. Because he's going to lose his job!"""
26	" And shame on her. She's young enough to be his great-granddaughter. What could the two of them possibly have in common-they both like to eat ice cream?"" He said, ""Apparently, their age difference doesn't matter to them. They're in love."" She said, ""Yes, they are. He's in love with her body. And she's in love with his money."" Ryan said, ""Yes, he is her sugar daddy, that's for sure."" Coco said, ""No, he isn't. He's her sugar daddies-three of them wrinkled up into one!"""
27	 He took the No. 1 train to Columbia University. He explored the campus. There were many sculptures. The sculpture at Greene Hall was massive. The sculpture was about 10 yards high and wide. It sat on top of the entranceway roof. The roof was about 12 feet high. The top of the sculpture was higher than the fourth floor of the building. But what was it a sculpture of? He wasn't sure. He could see four legs and a horse's head. The horse's mouth was wide open. He could see a hand next to the horse's head. But where were an arm and a body? He could see other stuff that he did not recognize. So, it was a horse and a human- maybe. If the artist wanted people to wonder, he had done a good job. A plaque might explain this thing. He looked, but he couldn't find one.
28	" He went to the visitors' center in the nearby library. He spoke to a young woman. ""I can't figure that sculpture out. What is it a sculpture of?"" he asked. ""You're not the first person to ask about that sculpture. It's called 'Bellerophon Taming Pegasus,'"" she said. ""It's a man wrestling a winged horse."" He said, ""Oh, so there is a man in there! I couldn't find him. All I saw was a hand."" She said, ""He's under the horse. You have to look really hard. I think the wings confuse people, too."" He agreed. ""You're right. I didn't even know they were wings. Also, the horse's head looks like it's attached to its stomach. The whole thing confused me. I'm going to go back and look at it again."" She said, ""This time, I think everything will be clearer to you. You'll be able to explain it to others!"""
29	" Roy wondered if he had some kind of problem. Maybe he loved his wife too much. His brother asked how he could love her too much. Roy said, ""About six times a day, out of the blue, I say to myself, 'I love her so much!'"" Frank said that did sound a bit much. ""Do you ever do that?"" Roy asked. Frank said he used to, just after his wedding. ""But that wasn't six times a day. And I can't remember the last time those words just popped into my head,"" he said. ""Do you ever say you love her?"" Roy said that he told his wife he loved her at least twice a day. ""How long have you two been married?"" Frank asked. Roy said 16 years. ""You've been thinking and saying that every day for 16 years?!"" Frank asked. ""I'll bet she doesn't think you have a problem!"""
30	" She called up the cable company. The cable representative asked how he could help her. She said she didn't have a picture. The TV screen was black, except for two words in big white letters: Please Wait. She said, ""'Please Wait' for what? What am I waiting for? I've been waiting for 30 minutes. I'm still waiting!"" He said that the TV was trying to fix itself. ""Can't it fix itself any faster?"" she asked. He said he could help her fix it faster. ""Unplug your cable box,"" he said. She did. ""Now plug it back in,"" he said. She did. Moments later, she said, ""It works! My TV works! That was too easy. So why did my TV screen say Please Wait? Why didn't it say Unplug Your Cable Box and Plug It Back In? Thank you. Now I know what to do next time. I certainly won't wait!"""
31	" She brought home a salad and a large pizza. She put them on the table. Her husband asked if he could join her. She was surprised, but she said of course. They started eating. ""This is delicious,"" he said. He was wolfing the pizza down. ""Sometimes I don't understand you. You're such a germophobe,"" she said. ""You know that some restaurant workers don't bother to wash their hands after using the bathroom. Some don't wash their hands after they pick their nose. A worker might have used his dirty hands to make this food. Or he might have used his dirty plastic gloves. He might have sneezed on the cheese. He might have coughed on the carrots. He might have picked the pepperoni off the floor. You are eating all those germs. Don't you care?"" He said, ""Of course I care. But sometimes I don't when it smells so good!"""
32	" They had four children and six grandchildren. Someone was knocking loudly at their front door. It was almost midnight. ""Oh, dear, it's them again,"" she said. ""How many times have they come here? They come late at night. They go from room to room. They never find anything. They never apologize."" Her husband went to the front door. ""Come in, officers,"" he said. ""Feel free to search our house again. Good luck finding drugs."" An officer said, ""Sit down at the dining table with your wife, sir."" The officers searched the house. They left the house. ""We should call the police,"" she said. ""But they are the police,"" he said. ""I mean some other police,"" she said. ""What other police?"" he asked. ""They're the only police we've got. I know-let's call the TV news. The police don't like to be embarrassed on TV. I'll call WPIX first thing tomorrow."""
33	" It was 8 a.m. Larry was running late. Had he done everything? He had brushed his teeth. He had brushed his tongue. He had gargled with mouthwash. He rushed out of his apartment. He took the M16 bus to 23rd Street. The bus was crowded. A young woman pressed against a window to avoid a fat man who was standing too close to her. Larry got off the bus and walked to the NYU dental center. He went to Patient Admissions. He filled out the forms and paid $95. He went upstairs with his student dentist. She was a pretty girl from India. He asked what her first language was. She said Hindi was the national language of India. Each of India's 26 states had its own language, also. ""So you speak three languages?"" he asked. She said she spoke Hindi, Punjabi, and English. He sat in the dental chair."
34	" She asked if he smoked or drank. He didn't. She asked if he flossed. ""After every meal,"" he said proudly. She examined his teeth. She said he might need two new fillings. She called her supervising dentist over. He examined Larry's teeth. ""This is very nice gold work,"" he said. Larry said USC had done it. The dentist said, ""I knew it! USC does outstanding gold work!"" He said Larry didn't need new fillings. ""Fillings naturally discolor over time,"" he told the student dentist. ""These are just fine."" He left. She said, ""Come with me. We'll make an appointment to clean your teeth."" She gave him an appointment for September 30 at 8:30 a.m. He washed his hands when he got home. He looked in the bathroom mirror. He saw a piece of food stuck between two of his upper teeth. He had forgotten to floss before his dental appointment!"
35	 The TV volume suddenly rose. It was a commercial. He grabbed the TV remote. He quickly lowered the volume to #7. A while later, a new commercial break started. The volume went up to #12 by itself. He lowered it back to #7. He watched TV every night. He had to turn the volume down about 20 times a night. He talked to his friends and family. They all said they had the same problem with TV volume. They all hated it. They all thought nothing could be done about it. He thought differently. He called his cable company. It said to call the networks. He called a network. It said to call his congressman. He called his congressman. The aide said to call the FCC. He called the Federal Communications Commission. A woman answered. She said the FCC had no control over TV volume. She didn't think anyone did.
36	" ""Max, I've found a cheaper way to get to JFK,"" said Dave. ""You don't have to take a taxi. A taxi will cost you $50 plus tip. You can take the LIRR for only $6. It's only 20 minutes. You'll be there before you know it."" Max was visiting New York City from Germany. ""What's the LIRR?"" he asked. Dave said it was the Long Island Rail Road. He said all Max had to do was take the train from Penn Station to Jamaica Station. He could then transfer to the Air Train. It would take him to his terminal. The Air Train was only $5. Max liked that idea. ""That saves me about $40,"" he said. ""Plus the tip,"" Dave added. Dave escorted Max to Penn Station. Max bought a ticket to Jamaica Station. The train was on Track 13. It was scheduled to leave in just one minute."
37	" They ran through the crowd. They ran down the stairs to Track 13. They were five feet from the train's door. The door closed. The train left the station. ""So close,"" Max said. They went back upstairs. They looked at the schedule. Another train was leaving in a few minutes. They ran downstairs to Track 14. Max jumped onboard. ""I was too fast for them this time,"" he said, laughing. Dave reminded him to get off at Jamaica Station. They said goodbye. The train left the station. Max emailed Dave a few days later. ""I made a big mistake,"" he wrote. ""I didn't realize how fast the train was. Somehow I missed Jamaica Station. It was the first stop. I got off at the next stop. I had to take a taxi to get to JFK. It cost me $45, plus tip. But at least I didn't miss my flight."""
38	" A UPL driver rang the doorbell. ""I'm here to pick up your package,"" he said. ""What package?"" she asked. ""I don't have a package."" ""A package for Target,"" he said. ""Oh,"" she said. ""The package for Target. Someone from UPL came by last week. He picked up the package. He took it with him. It's gone. Target probably has it by now."" He said, ""I'm sorry. I didn't know that."" The next morning, her phone rang. It was a recording from UPL. ""UPL will pick up your package today,"" the recording said. She called up UPL. ""I don't have a package anymore,"" she told the representative. ""UPL already picked it up."" The representative apologized. ""I will cancel today's pickup,"" he said. She sighed. When I had the package, they didn't come, she thought. When I no longer have the package, they come. That afternoon, her doorbell rang. It was UPL."
39	" The Staten Island train ride was about an hour. There were about 20 stops. The view for most of the ride was trees and houses. The train finally arrived at Tottenville, the last stop. Tom said to Jerry, ""Let's explore this town."" A young woman spoke up. ""Don't bother,"" she said. ""There's nothing to see, nothing to do."" Jerry asked, ""There's nothing in the whole town?"" She said, ""What 'whole town'? There isn't even a whole town."" Jerry laughed. ""I'll bet you grew up here,"" he said. She nodded and got off the train. Jerry and Tom got off after her. Jerry said, ""My two kids used to say the same thing about our small town in Vermont. But there was plenty to do and see there. I'll bet there's plenty in Tottenville, too."" Tom said, ""I'll bet we can find a bar or restaurant called The Last Stop, too."""
40	" He was at the Staples checkout counter. A red and white plastic ""button"" was on the counter. It was about five inches in diameter. On top of its plastic dome was the word ""Easy."" He asked the clerk, ""What's this?""She said, ""That's the Easy button."" He asked, ""What's it for?"" She said, ""Press down on it."" He pressed down on the dome. He heard, ""That was easy!"" He pressed down again. Again, he heard, ""That was easy!"" He asked, ""Is that it? Does it say anything else?"" She said, ""No, that's all it says. Do you want to buy one?"" He said, ""Buy one? This thing costs money?"" She said, ""It's only $5.""He said, ""$5!? Why would anyone pay $5 for this?"" She said, ""They see the button on our TV commercials. They think it's cute."" He said, ""But it doesn't do anything!"" She said, ""But it's cute!"""
41	" She was moving to New York City. She asked her brother to drive her to the airport in her car. ""Okay, but I've never driven this heap before,"" he said. ""It drives like any other car,"" she said. ""And it's a 1993 Cadillac; it's not a 'heap.' Remember, when you sell it, keep 25 percent for yourself."" ""Okay,"" he said. ""I'll keep $25, and I'll send you $75."" She put her bags in the trunk. They got into the car. He pressed on the emergency brake with his left foot. He turned on the ignition. The dashboard emergency brake light came on. ""The emergency brake light is on,"" he said. ""I thought I was releasing the brake. Instead, I must have set it. Now, how do I release it? Where's the brake release handle?"" She said, ""I wouldn't know. I never use the emergency brake. Let me check the manual."""
